,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
748,"PUDDINGS,VANILLA,RTE,FAT FREE",76.93,89,2.02,0.0,0.9,20.16,0.0,15.12,40.0,0.36,7.0,54.0,108.0,191.0,0.23,0.013,0.004,1.7,1.2,0.022,0.088,0.052,0.196,0.019,3.0,0.0,3.0,3.0,4.8,0.21,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,"PUDDINGS,TAPIOCA,RTE,FAT FREE",76.25,94,1.44,0.35,0.64,21.31,0.0,14.18,52.0,0.11,5.0,66.0,70.0,187.0,0.17,0.018,0.011,0.0,0.3,0.013,0.075,0.101,0.03,0.02,2.0,0.0,2.0,2.0,6.5,0.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.122,0.012,0.002,1.0
750,"PUDDINGS,CHOC,RTE,FAT FREE",76.23,93,1.93,0.3,0.7,20.87,0.3,15.75,39.0,1.69,15.0,54.0,208.0,154.0,0.3,0.083,0.078,1.6,0.0,0.018,0.074,0.087,0.148,0.016,3.0,0.0,3.0,3.0,7.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0
751,"ICE CREAMS,VANILLA,LT,NO SUGAR ADDED",65.52,169,3.97,7.45,1.2,21.42,0.0,6.46,136.0,0.19,9.0,75.0,196.0,96.0,0.31,0.03,0.006,1.9,0.9,0.029,0.122,0.074,0.256,0.029,4.0,0.0,4.0,4.0,23.0,0.52,302.0,86.0,85.0,0.0,12.0,0.0,0.0,0.0,0.29,0.1,5.0,2.8,4.048,1.855,0.74,27.0
752,"FROZEN NOVELTIES,FRUIT & JUC BARS",78.3,87,1.2,0.1,0.2,20.2,1.0,17.48,5.0,0.19,4.0,6.0,53.0,4.0,0.05,0.0,0.165,0.2,9.5,0.011,0.018,0.159,0.04,0.025,7.0,0.0,7.0,7.0,4.0,0.0,18.0,1.0,0.0,0.0,11.0,0.0,0.0,34.0,0.0,0.0,0.0,0.9,0.0,0.0,0.03,0.0
753,"ICE CREAMS,CHOC,LT,NO SUGAR ADDED",62.99,173,3.54,5.74,0.94,26.79,0.9,5.65,121.0,0.48,15.0,106.0,196.0,75.0,0.4,0.018,0.009,2.9,0.7,0.044,0.18,0.111,0.414,0.042,5.0,0.0,5.0,5.0,11.7,0.38,264.0,75.0,74.0,0.0,10.0,0.0,0.0,0.0,0.3,0.1,4.0,3.6,3.61,0.93,0.527,16.0
754,"FROZEN NOVELTIES,ICE TYPE,POP",80.49,79,0.0,0.24,0.05,19.23,0.0,13.66,0.0,0.54,1.0,0.0,15.0,7.0,0.15,0.0,0.0,0.2,0.7,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.051,0.016,0.0
755,"PIE FILLINGS,APPL,CND",73.4,100,0.1,0.1,0.3,26.1,1.0,13.8,4.0,0.29,2.0,7.0,45.0,47.0,0.04,0.055,0.027,0.3,1.7,0.012,0.011,0.035,0.042,0.016,0.0,0.0,0.0,0.0,2.8,0.0,24.0,2.0,0.0,0.0,10.0,8.0,0.0,11.0,0.04,0.0,0.0,0.5,0.0,0.0,0.0,0.0
756,"PUDDINGS,BANANA,DRY MIX,INST,PREP W/ WHL MILK",73.62,115,2.62,2.8,1.2,19.76,0.0,17.38,94.0,0.05,9.0,206.0,112.0,290.0,0.32,0.024,0.005,3.2,0.0,0.038,0.14,0.074,0.311,0.03,4.0,0.0,4.0,4.0,11.9,0.37,134.0,38.0,38.0,0.0,6.0,0.0,0.0,0.0,0.06,1.1,42.0,0.2,1.562,0.698,0.221,9.0
757,"PUDDINGS,BANANA,DRY MIX,REG,PREP W/ WHL MILK",74.96,111,2.74,2.89,0.97,18.44,0.0,15.98,101.0,0.04,10.0,74.0,118.0,158.0,0.34,0.025,0.006,3.3,0.0,0.036,0.147,0.077,0.324,0.028,4.0,0.0,4.0,4.0,11.2,0.31,141.0,40.0,39.0,0.0,6.0,0.0,0.0,0.0,0.06,1.1,44.0,0.2,1.634,0.711,0.195,9.0
758,"ICE CREAMS,REG,LO CARBOHYDRATE,VANILLA",61.0,216,3.17,12.7,0.9,22.23,4.8,6.35,128.0,0.09,14.0,105.0,199.0,48.0,0.69,0.023,0.008,2.6,0.6,0.041,0.24,0.116,0.581,0.048,5.0,0.0,5.0,5.0,26.0,0.39,418.0,118.0,116.0,0.0,19.0,0.0,0.0,0.0,0.3,0.2,9.0,0.3,6.79,3.17,0.41,32.0
759,"ICE CREAMS,REG,LO CARBOHYDRATE,CHOC",55.7,237,3.8,12.7,1.0,26.8,4.8,6.35,109.0,0.93,29.0,107.0,249.0,76.0,0.58,0.135,0.14,2.5,0.7,0.042,0.194,0.226,0.554,0.055,16.0,0.0,16.0,16.0,22.5,0.29,419.0,118.0,116.0,0.0,19.0,0.0,0.0,0.0,0.3,0.2,9.0,0.3,6.8,3.21,0.41,34.0
760,"BARLEY,PEARLED,COOKED",68.8,123,2.26,0.44,0.27,28.22,3.8,0.28,11.0,1.33,22.0,54.0,93.0,3.0,0.82,0.105,0.259,8.6,0.0,0.083,0.062,2.063,0.135,0.115,16.0,0.0,16.0,16.0,13.4,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,56.0,0.01,0.0,0.0,0.8,0.093,0.057,0.214,0.0
761,"BUCKWHEAT GROATS,RSTD,CKD",75.63,92,3.38,0.62,0.43,19.94,2.7,0.9,7.0,0.8,51.0,70.0,88.0,4.0,0.61,0.146,0.403,2.2,0.0,0.04,0.039,0.94,0.359,0.077,14.0,0.0,14.0,14.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.09,0.0,0.0,1.9,0.134,0.188,0.188,0.0
762,"BULGUR,COOKED",77.76,83,3.08,0.24,0.34,18.58,4.5,0.1,10.0,0.96,32.0,40.0,68.0,5.0,0.57,0.075,0.609,0.6,0.0,0.057,0.028,1.0,0.344,0.083,18.0,0.0,18.0,18.0,6.9,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,0.01,0.0,0.0,0.5,0.042,0.031,0.098,0.0
763,"COUSCOUS,COOKED",72.57,112,3.79,0.16,0.26,23.22,1.4,0.1,8.0,0.38,8.0,22.0,58.0,5.0,0.26,0.041,0.084,27.5,0.0,0.063,0.027,0.983,0.371,0.051,15.0,0.0,15.0,15.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.13,0.0,0.0,0.1,0.029,0.022,0.064,0.0
764,"HOMINY,CANNED,WHITE",82.53,72,1.48,0.88,0.86,14.26,2.5,1.82,10.0,0.62,16.0,35.0,9.0,345.0,1.05,0.03,0.07,3.0,0.0,0.003,0.006,0.033,0.154,0.005,1.0,0.0,1.0,1.0,3.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.05,0.0,0.0,0.2,0.123,0.231,0.399,0.0
765,"MILLET,COOKED",71.41,119,3.51,1.0,0.41,23.67,1.3,0.13,3.0,0.63,44.0,100.0,62.0,2.0,0.91,0.161,0.272,0.9,0.0,0.106,0.082,1.33,0.171,0.108,19.0,0.0,19.0,19.0,11.2,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,70.0,0.02,0.0,0.0,0.3,0.172,0.184,0.508,0.0
766,"RICE,BROWN,LONG-GRAIN,CKD",70.27,123,2.74,0.97,0.44,25.58,1.6,0.24,3.0,0.56,39.0,103.0,86.0,4.0,0.71,0.106,0.974,5.8,0.0,0.178,0.069,2.561,0.38,0.123,9.0,0.0,9.0,9.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.2,0.26,0.369,0.366,0.0
767,"RICE,WHITE,GLUTINOUS,UNENR,CKD",76.63,97,2.02,0.19,0.07,21.09,1.0,0.05,2.0,0.14,5.0,8.0,10.0,5.0,0.41,0.049,0.262,5.6,0.0,0.02,0.013,0.29,0.215,0.026,1.0,0.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.039,0.07,0.069,0.0
768,"WILD RICE,COOKED",73.93,101,3.99,0.34,0.4,21.34,1.8,0.73,3.0,0.6,32.0,82.0,101.0,3.0,1.34,0.121,0.282,0.8,0.0,0.052,0.087,1.287,0.154,0.135,26.0,0.0,26.0,26.0,10.2,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,64.0,0.24,0.0,0.0,0.5,0.049,0.05,0.213,0.0
769,"PASTA,WHOLE-WHEAT,CKD",61.8,149,5.99,1.71,0.44,30.07,3.9,0.75,13.0,1.72,54.0,127.0,96.0,4.0,1.34,0.225,1.321,36.3,0.0,0.156,0.099,3.126,0.268,0.093,21.0,0.0,21.0,21.0,6.5,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,94.0,0.23,0.0,0.0,0.6,0.243,0.176,0.574,0.0
770,"RICE NOODLES,CKD",73.82,108,1.79,0.2,0.18,24.01,1.0,0.03,4.0,0.14,3.0,20.0,4.0,19.0,0.25,0.038,0.114,4.5,0.0,0.018,0.004,0.072,0.011,0.006,1.0,0.0,1.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.023,0.026,0.023,0.0
771,"NOODLES,EGG,UNENR,CKD,WO/ ADDED SALT",67.73,138,4.54,2.07,0.5,25.16,1.2,0.4,12.0,0.6,21.0,76.0,38.0,5.0,0.65,0.098,0.315,23.9,0.0,0.03,0.02,0.4,0.263,0.046,7.0,0.0,7.0,7.0,25.7,0.09,21.0,6.0,6.0,0.0,1.0,0.0,0.0,38.0,0.17,0.1,4.0,0.0,0.419,0.581,0.552,29.0
772,"PASTA,CKD,UNENR,WO/ ADDED SALT",62.13,158,5.8,0.93,0.27,30.86,1.8,0.56,7.0,0.5,18.0,58.0,44.0,1.0,0.51,0.1,0.322,26.4,0.0,0.02,0.02,0.4,0.112,0.049,7.0,0.0,7.0,7.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.06,0.0,0.0,0.0,0.176,0.131,0.326,0.0
773,"RICE,WHITE,LONG-GRAIN,REG,UNENR,CKD WO/ SALT",68.44,130,2.69,0.28,0.41,28.17,0.4,0.05,10.0,0.2,12.0,43.0,35.0,1.0,0.49,0.069,0.472,7.5,0.0,0.02,0.013,0.4,0.39,0.093,3.0,0.0,3.0,3.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.077,0.088,0.076,0.0
774,"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,W/SALT",68.44,130,2.69,0.28,0.41,28.17,0.4,0.05,10.0,0.2,12.0,43.0,35.0,382.0,0.49,0.069,0.472,7.5,0.0,0.02,0.013,0.4,0.39,0.093,3.0,0.0,3.0,3.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.077,0.088,0.076,0.0
775,"PASTA,GLUTEN-FREE,BROWN RICE FLR,CKD,TINKYADA",62.3,138,3.46,1.67,0.38,32.2,1.7,0.0,5.0,0.53,36.0,87.0,25.0,4.0,0.83,0.069,1.227,11.1,0.0,0.095,0.082,1.465,0.26,0.075,4.0,0.0,4.0,4.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.203,0.596,0.446,0.0
776,"PASTA,GLUTEN-FREE,CORN FLR & QUINOA FLR,CKD,ANCIENT HARVEST",63.2,152,3.23,2.07,0.39,31.11,3.3,0.3,7.0,0.72,41.0,91.0,63.0,4.0,0.7,0.064,0.206,2.2,0.0,0.12,0.093,0.45,0.21,0.05,8.0,0.0,8.0,8.0,5.8,0.0,11.0,1.0,0.0,0.0,3.0,6.0,0.0,131.0,0.23,0.0,0.0,0.0,0.152,0.663,0.947,0.0
777,"PASTA,GLUTEN-FREE,CORN & RICE FLR,CKD",57.67,179,3.2,1.0,0.07,38.05,1.4,0.0,2.0,0.22,11.0,33.0,24.0,4.0,0.27,0.02,0.094,2.2,0.0,0.05,0.079,0.24,0.14,0.037,4.0,0.0,4.0,4.0,1.7,0.0,71.0,4.0,0.0,21.0,32.0,0.0,0.0,539.0,0.0,0.0,0.0,0.0,0.15,0.259,0.329,0.0
778,"FAST FOODS,ENG MUFFIN,W/CHS&SAUSAGE",37.93,338,13.28,20.67,2.83,25.28,0.5,1.98,210.0,3.14,21.0,168.0,179.0,668.0,1.19,0.252,0.284,25.3,0.0,0.481,0.197,4.217,0.696,0.086,51.0,34.0,17.0,75.0,29.8,0.79,219.0,56.0,55.0,0.0,22.0,0.0,0.0,22.0,0.58,0.4,17.0,2.2,8.152,7.905,3.115,43.0
779,"FAST FOODS,VANILLA,LT,SOFT-SERVE ICE CRM,W/ CONE",63.64,163,4.24,4.86,0.9,26.36,0.1,19.49,129.0,0.35,13.0,111.0,193.0,81.0,0.5,0.023,0.038,3.7,0.9,0.043,0.246,0.498,0.728,0.054,13.0,8.0,5.0,18.0,19.6,0.58,97.0,27.0,27.0,0.0,5.0,0.0,0.0,1.0,0.03,0.0,0.0,0.5,2.542,1.206,0.297,15.0
780,"FAST FOODS,BURRITO,W/BNS,CHS,&BF",60.9,180,7.03,6.8,1.89,23.37,3.7,2.1,90.0,1.82,23.0,131.0,204.0,451.0,0.88,0.106,0.298,10.7,1.3,0.213,0.223,2.09,0.345,0.097,45.0,31.0,14.0,67.0,27.9,0.27,277.0,52.0,45.0,2.0,63.0,22.0,160.0,77.0,0.28,0.1,3.0,6.1,2.733,1.803,1.575,12.0
781,"FAST FOODS,NACHOS,W/ CHS,BNS,GROUND BF,& TOMATOES",58.15,219,6.21,12.48,1.76,21.39,3.7,1.63,47.0,1.01,33.0,153.0,298.0,348.0,1.05,0.104,0.202,8.1,0.0,0.073,0.137,1.01,0.33,0.158,14.0,0.0,14.0,14.0,28.1,0.31,242.0,42.0,36.0,1.0,64.0,19.0,252.0,46.0,1.75,0.1,2.0,5.4,2.549,6.661,2.496,14.0
782,"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY; PLN",38.63,308,16.51,14.72,2.11,28.03,2.0,4.88,119.0,2.71,26.0,161.0,196.0,515.0,2.49,0.111,0.316,19.6,0.0,0.293,0.363,5.217,0.545,0.228,70.0,28.0,42.0,89.0,28.9,0.76,254.0,50.0,45.0,0.0,61.0,2.0,0.0,37.0,0.52,0.1,2.0,4.2,6.473,5.413,1.658,43.0
783,"FAST FOODS,CHEESEBURGER; SINGLE,LRG PATTY; PLN",40.67,310,17.29,15.97,2.0,24.07,1.7,4.67,114.0,2.57,24.0,163.0,210.0,481.0,2.79,0.097,0.259,19.6,0.0,0.26,0.353,4.597,0.575,0.224,62.0,30.0,31.0,83.0,31.3,1.0,275.0,58.0,53.0,0.0,58.0,2.0,0.0,30.0,0.52,0.1,2.0,4.6,6.873,5.769,1.502,51.0
784,"FAST FOODS,CHICK FILLET SNDWCH,PLN W/ PICKLES",48.94,250,16.28,11.19,2.7,20.89,1.4,3.64,58.0,1.77,24.0,185.0,245.0,753.0,0.61,0.067,0.219,19.9,0.8,0.23,0.3,7.72,1.2,0.383,47.0,12.0,35.0,56.0,35.3,0.13,32.0,3.0,2.0,2.0,12.0,6.0,0.0,78.0,2.41,0.1,5.0,8.5,2.123,4.481,3.177,35.0
785,"FAST FOODS,HAMBURGER; SINGLE,REG PATTY; PLN",38.45,297,16.52,12.01,1.52,31.5,1.7,4.88,62.0,3.06,27.0,134.0,197.0,331.0,2.52,0.121,0.357,20.3,0.0,0.317,0.363,5.617,0.53,0.212,80.0,29.0,51.0,100.0,34.4,0.89,51.0,9.0,8.0,0.0,15.0,1.0,5.0,38.0,0.38,0.1,2.0,4.9,4.493,4.835,1.68,33.0
786,"FAST FOODS,SUB,SWT ONION CHICK WIT BRD W/ LTTC,TMT SWT ONION",62.4,155,10.91,2.37,1.78,22.54,1.2,6.06,142.0,1.52,23.0,139.0,285.0,305.0,0.64,0.071,0.282,15.4,1.1,0.273,0.213,5.063,0.655,0.282,58.0,34.0,23.0,82.0,22.9,0.11,56.0,3.0,0.0,0.0,33.0,0.0,208.0,87.0,0.38,0.0,1.0,4.2,0.505,0.642,0.831,22.0
787,"FAST FOODS,SUBMARINE SNDWCH,TRKY RST BF HM BRD W/ LTTC & TMT",64.7,146,10.66,2.42,1.86,20.36,1.4,3.19,153.0,1.93,22.0,131.0,265.0,348.0,1.18,0.081,0.278,16.8,0.8,0.277,0.24,4.507,0.445,0.222,65.0,50.0,15.0,100.0,29.4,0.2,49.0,2.0,0.0,0.0,29.0,0.0,149.0,56.0,0.24,0.1,4.0,4.7,0.57,0.615,0.844,16.0
788,"FAST FOODS,SUBMARINE SNDWCH,TRKY BRST WHT BRD LTTC & TMT",64.33,147,9.12,2.31,1.82,22.42,1.3,3.09,169.0,1.84,23.0,122.0,253.0,317.0,0.66,0.075,0.297,17.0,1.2,0.27,0.227,4.617,0.425,0.176,66.0,50.0,16.0,102.0,28.4,0.12,47.0,2.0,0.0,0.0,28.0,0.0,207.0,72.0,0.28,0.0,1.0,4.7,0.476,0.521,1.037,10.0
789,"FAST FOODS,SUBMARINE SNDWCH,HAM ON WHT BRD W/ LTTC & TMT",63.26,151,9.12,2.53,2.17,22.91,1.3,3.54,169.0,1.78,20.0,116.0,367.0,396.0,0.88,0.082,0.302,17.3,0.9,0.377,0.243,4.18,0.435,0.174,72.0,54.0,17.0,109.0,33.2,0.12,41.0,2.0,0.0,0.0,25.0,0.0,167.0,76.0,0.29,0.2,9.0,4.7,0.626,0.763,0.831,12.0
790,"FAST FOODS,GRIDDLE CAKE SNDWCH,SAUSAGE",40.11,318,8.41,17.76,2.47,31.25,1.0,11.23,63.0,1.42,14.0,316.0,145.0,737.0,0.76,0.079,0.198,15.2,0.0,0.209,0.156,3.082,0.384,0.108,74.0,37.0,37.0,100.0,30.7,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,9.0,1.0,5.363,7.531,2.414,24.0
791,"FAST FOODS,CHESEBRGER; SING,LRG PATY; W/ CONDMNT,VEG & MAYO",50.92,268,13.69,15.8,1.86,17.73,1.1,4.5,73.0,2.3,18.0,125.0,208.0,473.0,2.26,0.081,0.186,16.5,1.1,0.177,0.257,3.143,0.755,0.186,51.0,30.0,21.0,72.0,36.8,0.93,256.0,50.0,44.0,0.0,64.0,2.0,208.0,41.0,0.57,0.1,3.0,14.2,5.746,5.352,2.366,51.0
792,"FAST FDS,CHSEBURGER; DOUBLE,LRG PATTY; W/ CONDMNT,VEG & MAYO",54.56,253,15.5,15.63,1.7,12.62,1.3,3.61,68.0,4.12,19.0,131.0,202.0,405.0,3.27,0.076,0.137,18.4,0.5,0.254,0.23,3.26,0.279,0.15,27.0,22.0,5.0,42.0,46.0,1.92,111.0,12.0,7.0,4.0,49.0,1.0,77.0,42.0,0.06,0.1,4.0,9.2,6.519,6.249,2.299,49.0
793,"FAST FOODS,CHSBURGR; DBL,RG PTTY; DBL BN W/ CNDMNT & SPL SAU",50.54,261,11.94,14.1,1.89,21.53,1.4,3.26,127.0,1.4,25.0,136.0,182.0,485.0,2.16,0.131,0.212,25.9,0.3,0.184,0.201,3.63,0.441,0.17,27.0,18.0,9.0,40.0,31.5,1.27,174.0,27.0,22.0,1.0,59.0,2.0,0.0,50.0,0.06,0.1,5.0,16.4,5.045,5.088,3.826,36.0
794,"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ COOKIE PIECES",63.9,169,3.97,5.66,0.92,25.55,0.1,21.19,129.0,0.61,14.0,111.0,198.0,75.0,0.5,0.03,0.042,4.0,0.8,0.048,0.229,0.264,0.722,0.058,10.0,5.0,5.0,13.0,18.6,0.58,93.0,26.0,25.0,0.0,5.0,0.0,0.0,0.0,0.09,0.0,0.0,3.3,2.754,1.716,0.364,15.0
795,"FAST FOODS,FRIED CHICK,BREAST,MEAT ONLY,SKN & BRDING REMOVED",65.61,153,27.93,4.54,2.27,0.0,0.0,0.0,23.0,0.54,28.0,237.0,306.0,512.0,0.97,0.058,0.036,34.1,0.0,0.104,0.232,9.03,1.32,0.325,12.0,0.0,12.0,12.0,96.6,0.3,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.27,0.1,5.0,0.0,1.18,2.08,0.81,97.0
796,"FAST FOODS,FRIED CHICK,BREAST,MEAT & SKN & BREADING",55.45,230,23.51,12.44,2.58,6.03,0.1,0.0,45.0,0.72,26.0,230.0,282.0,657.0,0.92,0.064,0.115,29.2,0.0,0.104,0.228,7.869,1.167,0.263,21.0,10.0,11.0,28.0,78.9,0.31,32.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.48,0.1,5.0,0.0,3.316,6.011,2.066,92.0
797,"FAST FOODS,FRIED CHICK,THIGH,MEAT & SKN & BREADING",51.37,274,19.23,18.07,2.64,8.68,0.1,0.0,54.0,1.0,22.0,210.0,240.0,747.0,1.45,0.083,0.149,25.2,0.0,0.099,0.286,5.583,1.046,0.17,25.0,14.0,11.0,34.0,84.2,0.43,54.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.61,0.2,7.0,0.0,4.832,8.477,2.939,106.0
798,"FAST FOODS,CRISPY CHICK IN TORTILLA,W/ LTTC,CHS,& RANCH SAU",47.88,275,11.48,15.1,2.32,23.22,1.3,2.48,88.0,1.47,19.0,186.0,173.0,607.0,0.72,0.069,0.269,19.2,0.3,0.17,0.265,3.585,0.53,0.166,47.0,32.0,14.0,70.0,25.0,0.15,81.0,13.0,10.0,0.0,28.0,0.0,0.0,59.0,1.54,0.1,4.0,23.6,3.837,4.407,4.926,29.0
799,"FAST FOODS,GRILLED CHICK IN TORTILLA,W/ LTTC,CHS,& RANCH SAU",55.17,222,13.77,10.31,2.31,18.43,0.9,1.53,93.0,1.45,20.0,184.0,192.0,577.0,0.77,0.062,0.209,23.0,0.4,0.17,0.255,5.875,0.59,0.194,45.0,35.0,10.0,69.0,7.9,0.17,75.0,12.0,10.0,0.0,25.0,0.0,0.0,26.0,0.45,0.0,2.0,17.7,3.363,2.313,3.415,41.0
800,"MACARONI & CHS,CND ENTREE",81.39,82,3.38,2.46,1.25,11.52,0.5,0.5,35.0,0.9,9.0,47.0,84.0,302.0,0.45,0.296,0.224,9.5,0.0,0.101,0.114,1.183,0.074,0.037,13.0,11.0,2.0,21.0,5.4,0.15,65.0,17.0,17.0,0.0,5.0,0.0,0.0,2.0,0.05,0.0,0.0,0.2,0.881,0.6,0.303,6.0
801,"HOT POCKETS HAM 'N CHS STUFFED SNDWCH,FRZ",48.96,241,9.16,9.14,2.2,30.55,1.5,7.6,152.0,2.0,18.0,168.0,188.0,504.0,0.95,0.113,0.27,11.6,0.1,0.417,0.273,3.425,0.85,0.095,54.0,43.0,11.0,84.0,29.1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.29,0.2,10.0,0.8,3.545,2.547,1.936,23.0
802,"BEEF STEW,CANNED ENTREE",80.78,99,4.41,5.53,1.43,7.85,0.9,1.76,12.0,2.48,8.0,42.0,163.0,388.0,1.0,0.141,0.059,4.7,0.7,0.073,0.053,1.096,0.12,0.087,14.0,0.0,14.0,14.0,15.6,0.5,223.0,11.0,0.0,53.0,106.0,3.0,28.0,4.0,0.27,0.0,0.0,6.2,2.185,2.543,0.251,13.0
803,"BEEF,CORNED BF HASH,W/ POTATO,CND",70.32,164,8.73,10.24,1.5,9.27,1.1,0.34,19.0,1.0,13.0,56.0,172.0,412.0,1.4,0.0,0.084,7.5,0.9,0.069,0.05,1.572,0.403,0.231,7.0,0.0,7.0,7.0,15.6,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.04,0.0,0.0,1.8,4.32,5.26,0.3,32.0
804,"BURRITO, BEAN AND CHEESE, FROZEN",50.99,221,7.07,6.3,1.63,34.01,3.4,3.21,52.0,2.51,31.0,117.0,210.0,351.0,0.71,0.129,0.408,12.7,0.3,0.287,0.143,2.48,0.403,0.085,105.0,47.0,58.0,138.0,22.3,0.08,68.0,8.0,5.0,1.0,24.0,11.0,0.0,36.0,0.37,0.0,0.0,7.6,1.343,1.298,3.104,2.0
805,"LASAGNA,VEG,FRZ,BKD",71.24,139,6.87,6.04,1.66,14.18,1.9,2.54,150.0,0.55,21.0,140.0,170.0,445.0,0.87,0.073,0.191,14.1,1.1,0.117,0.185,0.81,0.197,0.102,14.0,1.0,12.0,14.0,12.3,0.59,647.0,68.0,42.0,90.0,256.0,5.0,0.0,101.0,0.46,0.0,0.0,17.8,2.866,1.721,1.337,14.0
806,"TKY,STUFFING,MSHD POTATO W/GRAVY,ASSORTED VEG,FRZ,MICROWAVE",71.16,128,6.97,3.89,1.66,16.32,1.3,4.82,27.0,0.79,18.0,106.0,230.0,326.0,0.48,0.056,0.157,7.9,0.8,0.138,0.252,3.057,0.233,0.177,24.0,7.0,16.0,29.0,17.1,0.33,319.0,44.0,34.0,0.0,124.0,0.0,0.0,327.0,0.24,0.1,2.0,11.5,0.877,1.235,1.087,14.0
807,"MACARONI & CHS,FRZ ENTREE",69.39,149,5.6,6.41,1.31,17.28,1.1,1.53,114.0,0.57,17.0,119.0,95.0,290.0,0.8,0.051,0.216,18.5,0.0,0.054,0.057,0.739,0.388,0.042,7.0,0.0,7.0,7.0,8.3,0.12,182.0,47.0,45.0,0.0,20.0,0.0,0.0,4.0,0.25,0.0,0.0,5.1,2.608,1.433,1.363,10.0
808,"CORN DOGS,FRZ,PREP",50.32,250,8.57,12.02,2.13,26.96,1.0,7.54,72.0,1.9,17.0,224.0,125.0,668.0,0.85,0.072,0.171,27.6,0.5,0.141,0.155,2.786,0.406,0.117,60.0,53.0,7.0,97.0,26.9,0.48,166.0,48.0,47.0,0.0,3.0,4.0,0.0,132.0,0.6,0.4,15.0,5.8,3.466,4.732,3.354,44.0
809,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,SEL,RAW",65.49,208,20.69,13.27,0.95,0.0,0.0,0.0,19.0,2.13,10.0,179.0,235.0,42.0,3.09,0.065,0.002,19.2,0.0,0.053,0.202,4.865,0.355,0.672,3.0,0.0,3.0,3.0,55.4,1.83,15.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,4.0,1.5,5.696,6.119,0.613,60.0
