,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot,Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),class
79,"BABYFOOD,POTATOES,TODDLER",86.8,52,1,0.1,0.37,11.73,0.9,0.91,4,0.2,15,23,110,57,0.17,0.07,0.07,0.8,10.5,0.02,0.01,0.35,0.305,0.07,6,0,6,6,13.2,0,0,0,0,0,0,0,0,0,0.02,0,0,0.2,0.015,0.002,0.025,0,0
80,"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR",83.14,66,0.37,0.1,0.26,16.16,1.6,4.35,5,0.24,9,12,131,3,0.05,0.04,0.1,0.4,17.3,0.01,0.031,0.163,0.135,0.1,3,0,3,3,4.9,0,6,0,0,0,3,2,0,8,0.02,0,0,0.3,0.04,0.01,0.05,0,0
81,"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR",79,83,0.9,0.22,0.57,19.31,1.4,12.76,5,0.3,25,19,233,2,0.1,0.08,0.082,0.6,13.9,0.01,0.03,0.55,0.145,0.29,5,0,5,5,7.1,0,56,3,0,15,23,6,0,10,0.08,0,0,0.6,0.106,0.028,0.085,0,0
82,"BABYFOOD,DSSRT,DUTCH APPL,JR",80.32,79,0.2,0.16,0.14,19.18,1.4,17.89,3,0.11,4,7,67,3,0.03,0.03,0.02,0.2,18,0.01,0.012,0.048,0.017,0.017,0,0,0,0,2.5,0,18,1,0,0,8,6,0,11,0.04,0,0,0.5,0.025,0.006,0.045,0,0
83,"BABYFOOD,CHERRY COBBLER,JR",79.8,78,0.3,0.1,0.19,19.2,0.2,10.39,5,0.1,2,6,45,0,0.05,0.01,0.02,0.9,9.3,0.01,0.01,0.06,0.043,0.02,2,0,2,2,1.5,0,31,2,0,0,19,0,0,20,0.03,0,0,0.5,0.02,0.02,0.03,0,0
84,"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,JR",79.31,86,1.76,0.98,0.37,17.58,0.2,12.2,54,0.22,5,55,68,26,0.3,0.01,0.01,2.4,0.4,0.012,0.054,0.076,0.232,0.03,6,0,6,6,29.9,0.23,47,13,13,1,1,1,0,39,0.09,0.5,19,0,0.325,0.364,0.128,38,0
85,"BABYFOOD,JUC,FRUIT PUNCH,W/CA",86.5,52,0.2,0.1,0.52,12.7,0.4,10.6,64,0.3,7,11,86,4,0.04,0.02,0.09,0.1,21.2,0.01,0.02,0.1,0.056,0.05,1,0,1,1,2.2,0,3,0,0,0,2,0,0,21,0.01,0,0,0.1,0.02,0.004,0.029,0,0
86,"BABYFOOD,JUC,APPL,W/CA",88.3,46,0.06,0.1,0.48,11.1,0.4,9,127,0.2,6,8,92,3,0.03,0.01,0.29,0.1,21.2,0.02,0.02,0.08,0.06,0.03,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.005,0.032,0,0
87,"BABYFOOD,APPLS W/HAM,STR",85.3,62,2.6,0.9,0.3,10.9,1.8,7.98,4,0.3,7,34,120,9,0.4,0.04,0.02,4.6,0.1,0.06,0.06,0.73,0.097,0.07,2,0,2,2,11.8,0.02,6,0,0,0,3,2,0,14,0.07,0.1,3,0.5,0.25,0.36,0.111,8,0
88,"BABYFOOD,DINNER,APPLS&CHICK,STR",85.4,65,2.16,1.38,0.18,10.88,1.8,6.06,18,0.38,6,32,95,12,0.36,0.04,0.03,2.5,0.2,0.02,0.057,0.577,0.098,0.083,1,0,1,1,9.1,0.02,30,2,0,0,13,10,0,16,0.07,0,1,0.6,0.347,0.411,0.35,5,0
89,"BABYFOOD,DINNER,POTATOES W/CHS&HAM,TODD",81.5,78,3.5,2,1.03,11.97,1.2,0.8,53,0.4,14,108,143,205,0.6,0.06,0.018,5.5,0.1,0.05,0.1,1.06,0.345,0.16,6,0,6,6,15.4,0.07,31,8,8,0,3,0,0,5,0.02,0,1,1.3,1.1,0.733,0.163,6,2
90,"BABYFOOD,CRL,BARLEY,PREP W/WHL MILK",82.19,84,3.73,3.26,0.87,9.94,0.6,5.1,162,3.49,18,110,151,43,0.57,0.057,0.004,5.6,0.2,0.242,0.353,2.707,0.384,0.06,7,0,7,7,16.6,0.42,150,43,42,0,6,0,0,12,0.43,1.2,47,0.4,1.76,0.802,0.309,10,0
91,"BABYFOOD,CRL,MXD,W/BANANAS,PREP W/WHL MILK",81.81,86,3.82,3.46,0.92,10,0.4,5.9,153,3.63,18,111,178,48,0.49,0.053,0.004,4.9,0.4,0.315,0.437,1.605,0.345,0.065,6,0,6,6,15.4,0.43,155,43,42,2,8,0,0,12,0.44,1.2,47,0.5,1.808,0.859,0.342,10,0
92,"BABYFOOD,CRL,OATMEAL,W/BANANAS,PREP W/WHL MILK",81.81,86,3.82,3.46,0.92,10,0.4,5.9,153,3.63,18,111,178,48,0.49,0.053,0.004,4.9,0.4,0.315,0.437,1.605,0.345,0.104,6,0,6,6,15.4,0.43,155,43,42,2,8,0,0,12,0.44,1.2,47,0.5,1.82,0.859,0.345,10,0
93,"BABYFOOD,CRL,RICE,PREP W/WHL MILK",81.96,85,3.45,3.38,0.89,10.31,0,4.87,168,3.63,25,122,151,42,0.49,0.048,0.004,4.3,0.2,0.243,0.324,2.449,0.345,0.069,6,0,6,6,14.6,0.41,150,42,42,0,6,0,0,0,0.44,1.2,47,0.2,1.793,0.846,0.333,10,0
94,"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,RTF",88,63,1.38,3.5,0.32,7.18,0,7.18,51,0.46,5,35,71,18,0.66,0.05,0.01,1.8,7.9,0.052,0.092,0.66,0.294,0.04,11,11,0,18,8,0.19,193,58,58,0,0,0,0,0,0.87,1,40,5.2,1.479,1.291,0.689,1,0
95,"INF FORMULA, MEAD JOHN, ENFAMIL LIPIL,W/ IRON,RTF,W/ AR & DH",88.35,64,1.38,3.5,0.32,7.1,0,7.1,51,1.18,5,35,71,18,0.66,0.05,0.01,1.8,7.9,0.052,0.092,0.66,0.33,0.04,11,11,0,18,8,0.19,193,58,58,0,0,0,0,0,0.87,1,40,5.2,1.453,1.255,0.67,1,0
96,"INF FORMULA, ABBO NUTR, SIMIL,ISOMI,W/ IRON,RTF",87.54,66,1.61,3.59,0.66,6.7,0,6.7,69,1.18,5,49,71,29,0.49,0.049,0.016,1.4,5.9,0.039,0.059,0.887,0.493,0.039,10,10,0,17,8,0.3,197,59,59,0,0,0,0,0,1.32,1,39,7.2,1.166,1.371,0.838,0,0
97,"INF FORMULA, ABBOTT NUTR, SIMILAC, ALIMENTUM, W/ IRON,RTF",87.32,66,1.8,3.63,0.48,6.77,0,4.4,69,1.18,5,49,77,29,0.49,0.049,0.006,1.2,5.9,0.039,0.059,0.885,0.491,0.039,10,10,0,17,8,0.3,197,59,59,0,0,0,0,0,1.32,0.7,29,9.8,1.838,0.294,1.113,1,0
98,"INF FORMULA, ABBOTT NUTR, SIMILAC, W/ IRON, RTF",87.79,65,1.36,3.55,0.38,6.92,0,6.9,51,1.18,4,28,69,16,0.49,0.059,0.003,1.2,5.9,0.066,0.099,0.69,0.296,0.039,10,10,0,17,8,0.16,197,59,59,0,0,0,0,0,1.32,1,39,5.3,1.237,1.314,0.801,2,0
99,"INF FORMULA, ABBOTT NUTR, SIMILAC, LO IRON, RTF",87.79,65,1.36,3.55,0.38,6.93,0,6.93,51,0.14,4,28,69,16,0.49,0.059,0.003,1.4,5.9,0.066,0.099,0.69,0.296,0.039,10,10,0,17,11,0.16,197,59,59,0,0,0,0,0,1.32,1,39,5.3,1.237,1.314,0.801,2,0
100,"CHILD FORMULA,ABBOTT NUTR,PEDIASURE,RTF (FORMERLY ROSS)",80.47,99,2.86,4.77,0.75,11.15,0,10.5,93,1.34,19,76,125,36,1.15,0.095,0.239,2.2,9.5,0.258,0.201,1.614,0.955,0.248,35,36,0,60,29,0.57,246,74,74,0,0,0,0,0,1.46,1.2,48,3.6,1.256,1.936,1.068,2,0
101,"CHI FORMU,ABBT NUTR,PEDIASU,RTF,W/ IRON & FIB (FORMER ROSS)",80.47,99,2.8,4.7,0.75,11.28,0.5,7.6,92,1.32,19,80,124,36,0.56,0.106,0.144,3,9.6,0.256,0.2,0.96,0.96,0.248,28,28,0,48,28.4,0.56,152,46,46,0,0,0,0,0,1.46,1.2,48,5.6,1.256,1.936,1.067,2,0
102,"INF FORMULA,MEAD JOHNSON,NEXT STEP PROSOBEE,PREP FROM PDR",86.41,67,2.14,2.91,0.46,8.08,0,7.77,128,1.31,7,85,79,23,0.79,0.05,0.033,1.8,7.9,0.052,0.059,0.66,0.33,0.04,11,11,0,18,8,0.19,194,58,58,0,0,0,0,0,0.87,1,40,5.2,1.243,1.078,0.544,0,0
103,"INF FORM, ABBO NUTR, SIMIL, ALIMENT, ADVAN, RTF,W/ ARA & DHA",87.32,67,1.8,3.63,0.48,6.77,0,4.4,69,1.18,5,49,77,29,0.49,0.049,0.006,1.2,5.9,0.039,0.059,0.885,0.491,0.039,10,10,0,17,8,0.3,197,59,59,0,0,0,0,0,1.32,0.7,29,9.8,1.838,0.294,1.126,1,0
104,"INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA",87,69,1.92,3.77,0.38,6.94,0,6.9,72,1.23,6,42,97,23,0.82,0.082,0.006,1.6,10.3,0.151,0.102,1.336,0.548,0.068,17,17,0,29,11,0.27,315,94,94,0,0,0,0,0,1.11,1.2,48,7.5,2.447,0.387,0.844,2,2
105,"INF FORMULA, ABB NUTR, SIMI,SENS (LACT FRE) RTF,W/ ARA & DHA",87,68,1.48,3.74,0.75,7.4,0,7.4,58,1.24,3,39,74,21,0.52,0.06,0.003,1.2,6,0.069,0.104,0.726,0.311,0.042,10,10,0,18,11.1,0.17,208,62,62,0,0,0,0,0,0.93,1,40,5.5,2.43,0.384,0.832,2,0
106,"INF FORMULA, ABBOTT NUTR, SIMILAC, ADVANCE, W/ IRON, RTF",87.79,66,1.36,3.7,0.38,6.77,0,6.9,53,1.18,4,28,69,16,0.49,0.059,0.003,1.2,5.9,0.066,0.099,0.69,0.296,0.039,10,10,0,17,8,0.16,197,59,59,0,0,0,0,0,1.32,1,39,5.3,1.237,1.314,0.801,2,0
107,"INF FORMULA, ABBO NUTR,SIMIL,ISOMIL, ADVANCE W/ IRON,RTF",87.54,66,1.61,3.59,0.66,6.7,0,6.7,69,1.18,5,49,71,29,0.49,0.049,0.016,1.4,5.9,0.039,0.059,0.887,0.493,0.039,10,10,0,17,8,0.3,197,59,59,0,0,0,0,0,1.32,1,39,7.2,1.166,1.371,0.838,0,0
108,"INF FORMULA,MEAD JOHNSON,ENFAMIL,ENFACARE LIPIL,RTF, ARA&DHA",86,71,2,3.8,0.8,7.4,0,7.4,86,1.28,6,47,75,25,0.88,0.086,0.011,2,11.3,0.141,0.141,1.423,0.605,0.071,19,19,0,31,17.1,0.21,193,58,58,0,0,0,0,0,1.32,1.4,57,5.7,1.578,1.33,0.862,1,0
109,"BABYFOOD,YOG,WHL MILK,W/ FRUIT,MULTIG CRL & ADD DHA FORT",79.16,98,3.4,3.53,0.69,13.22,0.3,11.46,107,0.15,15,95,149,41,0.59,0.023,0.101,2.8,1.4,0.047,0.129,0.119,0.354,0.034,8,0,8,8,14.2,0.32,86,24,23,0,5,0,0,6,0.07,0.1,3,0.3,1.84,0.916,0.367,14,0
110,"BABYFOOD,MSHD CHEDDAR POTATOES&BROCCOLI,TODDLER",88.97,48,1.11,1.47,0.98,7.47,1.2,1.17,20,0.16,8,24,118,176,0.16,0.06,0.056,0.5,1.5,0.03,0.02,0.419,0.194,0.089,6,0,6,6,5.8,0.01,84,13,11,2,28,0,0,98,0.09,0,0,8.1,0.875,0.37,0.092,4,2
111,"INFFORM,MEADJOHNSON,ENFAMIL GENTLEASE LIPIL,W/IRON,PREPFRPDR",88.4,63,1.52,3.5,0.19,6.39,0,6.44,53,1.18,5,30,71,21,0.66,0.05,0.01,1.8,7.9,0.052,0.092,0.66,0.33,0.039,10,10,0,18,15.7,0.21,194,58,58,0,0,0,0,0,0.63,1,40,5.2,1.5,1.3,0.7,0,0
112,"BABYFOOD,YOGU,WHL MILK,W/ FRUI,MULTIGRA CRL & ADD IRON FORT",80.21,92,3.05,3.08,0.65,13,0.6,11.46,98,4.18,15,86,143,38,0.54,0.031,0.064,2.4,3.6,0.048,0.12,0.119,0.333,0.036,7,0,7,7,13.4,0.29,82,22,21,0,7,1,0,13,0.09,0,2,0.9,1.582,0.74,0.405,10,0
113,"INF FORMULA, MEAD JOHNS, ENFAMIL, ENFAGROW, GENTLEA,TOD, RTF",87.78,66,1.71,3.5,0.63,6.9,0,6.9,128,1.31,5,85,85,26,0.66,0.049,0.01,1.8,7.9,0.053,0.092,0.657,0.328,0.039,11,11,0,18,15.8,0.2,199,60,60,0,0,0,0,0,0.59,1,39,5.9,1.602,0.031,0.744,0,0
114,"INF FORMULA, MEAD JOHNSON, ENFAMIL, ENFAGROW, SOY, TODD RTF",86.67,65,2.17,2.89,0.63,7.64,0,7.64,128,1.31,7,85,79,24,0.79,0.049,0.033,1.8,7.9,0.053,0.059,0.657,0.328,0.039,11,11,0,18,15.8,0.2,199,60,60,0,0,0,0,0,0.59,1,39,5.3,0.855,0.727,0.38,0,0
115,"INF FORMULA,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN AA,RTF",87.78,66,1.84,3.48,0.2,6.76,0,6.76,62,1.18,7,34,72,31,0.66,0.049,0.039,1.8,7.9,0.053,0.059,0.657,0.328,0.039,11,11,0,18,15.8,0.2,197,59,59,0,0,0,0,0,0.59,0.8,33,5.3,1.592,0.031,0.741,0,0
116,"INF FORMULA,MEAD JOHNSON,ENFAMIL,PREMIUM,NEWBORN,RTF",87.78,66,1.38,3.48,0.32,7.39,0,7.39,51,1.18,5,28,71,18,0.66,0.049,0.009,1.8,7.9,0.053,0.092,0.657,0.328,0.039,11,11,0,18,15.8,0.2,199,60,60,0,0,0,0,0,0.63,1.2,49,5.9,1.001,0.896,0.467,0,0
117,"INF FORMULA, GERBER, GOOD START 2 SOY,W/ IRON,RTF",87.68,65,1.84,3.28,0.3,7.15,0,7.14,125,1.31,7,70,76,26,0.59,0.049,0.033,2,7.9,0.039,0.062,0.689,0.328,0.039,10,10,0,17,15.7,0.2,199,60,60,0,0,0,0,0,0.89,1,39,5.9,1.399,1.187,0.694,0,0
118,"INF FORMULA,GERBER,GOOD START,PROTECT PLUS,RTF",87.86,65,1.44,3.36,0.16,7.17,0,7.17,44,0.98,5,25,71,18,0.52,0.08,0.01,3,10,0.066,0.092,0.689,0.295,0.049,10,10,0,17,15.7,0,199,60,60,0,0,0,0,0,0.59,1,39,5.2,1.443,1.252,0.667,0,0
119,"INF FORMULA,GERBER GOOD START 2,GENTLE PLUS,RTF",87.5,66,1.44,3.34,0.27,7.61,0,7.61,125,1.31,0,70,71,18,0.52,0.052,0.01,2,7.9,0.066,0.092,0.689,0.295,0.049,10,10,0,17,15.8,0.22,199,60,60,0,0,0,0,0,0.59,1,39,5.2,0.975,0.846,0.451,0,0
120,"INF FORMULA, GERBER, GOOD START 2,PROTECT PLUS, RTF",87.86,66,1.44,3.37,0.16,7.39,0,7.34,44,0.98,5,25,71,18,0.52,0.08,0.01,3,10,0.066,0.092,0.689,0.295,0.049,10,10,0,17,15.7,0,199,60,60,0,0,0,0,0,0.59,1,39,5.2,1.443,1.252,0.667,0,0
121,"INF FORMULA, ABBO NU,SIMIL,GO & GR,RTF,W/ ARA & DHA",87.21,66,1.97,3.54,0.34,6.69,0,6.69,128,1.31,6,85,98,20,0.49,0.059,0.003,1.2,7.9,0.066,0.098,0.689,0.295,0.039,10,10,0,17,10.5,0.2,199,60,60,0,0,0,0,0,0.89,1,39,5.2,1.018,0.911,0.476,0,0
122,"INF FORMU, ABBO NUTR, SIMIL, EXPERT CARE, DIARRH RT",87.78,66,1.76,3.6,0.22,6.67,0.7,6.66,69,1.18,5,49,71,29,0.49,0.049,0.016,1.2,5.9,0.039,0.059,0.885,0.492,0.039,10,10,0,17,7.9,0.3,199,60,60,0,0,0,0,0,0.44,1,39,7.2,1.477,1.293,0.685,0,0
123,"INF FORMULA, ABBO NUTR, SIMIL, FOR SPIT UP, RTF,W/ ARA & DHA",87.87,66,1.4,3.54,0.18,7.19,0,7.19,55,1.18,4,37,70,20,0.49,0.059,0.003,1.2,5.9,0.066,0.098,0.689,0.295,0.039,10,10,0,17,10.6,0.16,199,60,60,0,0,0,0,0,0.89,1,39,5.2,2.3,0.364,0.793,0,0
124,"BABYFD,FRU,BAN AND STRAW, JU",72.23,109,0.71,0.37,0.91,25.78,1.4,19.29,0,0.14,30,24,395,1,0.23,0.087,0.3,1.1,12.9,0.035,0.08,0.728,0.368,0.395,22,0,22,22,10.8,0,69,3,0,27,28,0,0,24,0.12,0,0,0.6,0.121,0.036,0.084,0,0
125,"BABYFOO,BAN WI MIX BERR,ST",76.68,92,1.01,0.36,0.65,21.31,1,15,0,0,23,20,283,0,0.23,0.094,0.351,0.8,18.2,0.028,0.058,0.623,0.295,0.257,20,0,20,20,8.9,0,51,3,0,20,20,0,0,47,0.37,0,0,6.3,0.081,0.036,0.123,0,0
126,"SALAD DRSNG,FRENCH DRSNG,FAT-FREE",65.04,132,0.2,0.27,2.35,32.14,2.2,16.45,5,0.58,3,0,84,853,0.1,0.121,0.024,2,0,0.011,0.026,0.112,0.002,0,14,0,14,14,4,0,75,4,0,0,38,15,319,0,0.02,0,0,0.1,0.037,0.141,0.062,0,2
127,"SALAD DRSNG,HONEY MUSTARD DRSNG,RED CAL",57.19,207,0.98,10,2.56,28.26,0.8,18.33,67,0.41,12,28,55,701,0.17,0.025,0.144,6.8,0.4,0.07,0.013,0.118,0.071,0.02,2,0,2,2,4.9,0,14,1,0,0,6,5,0,4,1.46,0,0,13.3,0.833,5.573,3.152,0,2
128,"CHICKEN,BROILERS OR FRYERS,MEAT & SKN,RAW",65.99,215,18.6,15.06,0.79,0,0,0,11,0.9,20,147,189,70,1.31,0.048,0.019,14.4,1.6,0.06,0.12,6.801,0.91,0.35,6,0,6,6,59.7,0.31,140,41,41,0,0,0,0,0,0.3,0.2,10,1.5,4.31,6.24,3.23,75,1
129,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,BATTER",49.39,289,22.54,17.35,1.3,9.42,0.3,0,21,1.37,21,155,185,292,1.67,0.072,0.057,25.5,0,0.115,0.189,7.043,0.889,0.31,18,10,8,25,63.5,0.28,93,28,28,0,0,0,0,0,1.24,0.2,7,2.4,4.61,7.09,4.1,87,2
130,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,FLR",52.41,269,28.56,14.92,0.98,3.15,0.1,0,17,1.38,25,191,234,84,2.04,0.075,0.034,21.7,0,0.087,0.193,8.992,1.079,0.41,9,3,6,11,79.8,0.31,89,27,27,0,0,0,0,0,0.63,0.1,6,2.4,4.06,5.89,3.41,90,1
131,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,RSTD",59.45,239,27.3,13.6,0.92,0,0,0,15,1.26,23,182,223,82,1.94,0.066,0.02,23.9,0,0.063,0.168,8.487,1.03,0.4,5,0,5,5,65.9,0.3,161,48,48,0,0,0,0,0,0.27,0,2,2.4,3.79,5.34,2.97,88,1
132,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,STWD",63.93,219,24.68,12.56,0.76,0,0,0,13,1.16,19,139,166,67,1.76,0.057,0.019,18,0,0.046,0.148,5.594,0.667,0.22,5,0,5,5,57.4,0.2,146,44,44,0,0,0,0,0,0.27,0,1,2.1,3.5,4.93,2.74,78,1
133,"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW",75.46,119,21.39,3.08,0.96,0,0,0,12,0.89,25,173,229,77,1.54,0.053,0.019,15.7,2.3,0.073,0.142,8.239,1.058,0.43,7,0,7,7,65.7,0.37,52,16,16,0,0,0,0,0,0.21,0.1,5,1.8,0.79,0.9,0.75,70,1
134,"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,CKD,FRIED",57.53,219,30.57,9.12,1.09,1.69,0.1,0,17,1.35,27,205,257,91,2.24,0.075,0.028,24.5,0,0.085,0.198,9.663,1.166,0.48,7,0,7,7,91.2,0.34,59,18,18,0,0,0,0,0,0.46,0.1,5,2.8,2.46,3.35,2.15,94,1
135,"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RSTD",63.79,190,28.93,7.41,1.02,0,0,0,15,1.21,25,195,243,86,2.1,0.067,0.019,22,0,0.069,0.178,9.173,1.104,0.47,6,0,6,6,78.8,0.33,53,16,16,0,0,0,0,0,0.27,0.1,5,2.4,2.04,2.66,1.69,89,1
136,"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,STWD",66.81,177,27.29,6.71,0.85,0,0,0,14,1.17,21,150,180,70,1.99,0.061,0.019,20.9,0,0.049,0.163,6.117,0.746,0.26,6,0,6,6,72.4,0.22,50,15,15,0,0,0,0,0,0.27,0.1,5,2.4,1.84,2.39,1.54,83,1
137,"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,CKD,STWD",68.02,159,28.88,3.99,0.87,0,0,0,13,0.93,22,159,180,65,1.19,0.044,0.018,22.3,0,0.042,0.117,7.79,0.573,0.33,3,0,3,3,76.6,0.23,27,8,8,0,0,0,0,0,0.27,0.1,5,0.2,1.12,1.35,0.87,77,1
138,"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,CKD,RSTD",63.06,205,27.37,9.73,1.02,0,0,0,15,1.33,23,179,240,93,2.8,0.08,0.021,18,0,0.073,0.227,6.548,1.21,0.36,8,0,8,8,74.4,0.32,72,22,22,0,0,0,0,0,0.27,0.1,5,3.9,2.66,3.56,2.26,93,1
139,"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,CKD,STWD",65.83,192,25.97,8.98,0.84,0,0,0,14,1.36,20,143,181,74,2.66,0.075,0.02,17.3,0,0.055,0.202,4.737,0.89,0.21,7,0,7,7,68.9,0.22,69,21,21,0,0,0,0,0,0.27,0.1,5,3.6,2.45,3.26,2.09,88,1
140,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,CKD,RSTD",53.52,300,25.95,20.97,0.92,0,0,0,21,1.42,20,154,210,87,2.25,0.076,0.022,22.5,0,0.061,0.195,6.718,1.012,0.27,6,0,6,6,62.3,0.27,348,105,105,0,0,0,0,0,0.27,0.1,2,4.9,5.82,8.29,4.62,88,2
141,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,CKD,STWD",60.93,258,22.18,18.14,0.64,0,0,0,18,1.22,16,120,145,64,1.93,0.063,0.02,19.9,0,0.043,0.151,4.343,0.696,0.15,5,0,5,5,51.1,0.18,308,88,88,0,0,0,0,0,0.27,0.1,2,4.1,5.02,7.13,4,78,2
142,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,RAW",69.46,172,20.85,9.25,1.01,0,0,0,11,0.74,25,174,220,63,0.8,0.039,0.018,16.6,0,0.063,0.085,9.908,0.804,0.53,4,0,4,4,67.1,0.34,83,24,24,0,0,0,0,0,0.27,0.4,16,0,2.66,3.82,1.96,64,1
143,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,STWD",66.21,184,27.39,7.42,0.84,0,0,0,13,0.92,22,156,178,62,0.97,0.044,0.018,21.8,0,0.041,0.115,7.807,0.547,0.29,3,0,3,3,64.4,0.21,82,25,25,0,0,0,0,0,0.27,0.1,5,0.2,2.08,2.9,1.58,75,1
144,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD",68.27,151,28.98,3.03,0.91,0,0,0,13,0.88,24,165,187,63,0.97,0.043,0.018,22.3,0,0.042,0.119,8.469,0.573,0.33,3,0,3,3,78.5,0.23,19,6,6,0,0,0,0,0,0.27,0.1,5,0.2,0.85,1.03,0.66,77,1
145,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,RAW",72.46,161,18.08,9.2,0.86,0.11,0,0,8,0.71,18,163,211,106,1.86,0.062,0.014,20.2,0,0.083,0.195,4.841,1.034,0.345,3,0,3,3,52.8,0.53,46,14,14,0,0,0,0,102,0.19,0.1,2,2.5,2.459,3.719,1.965,92,1
146,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,STWD",65.12,204,25.32,10.64,0.82,0,0,0,11,1.33,20,141,184,76,2.65,0.071,0.019,17,0,0.05,0.19,4.204,0.858,0.19,7,0,7,7,59.2,0.22,91,27,27,0,0,0,0,0,0.27,0.1,5,4,2.91,4.07,2.38,83,1
147,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,RAW",76.78,116,19.41,3.71,0.92,0,0,0,9,0.76,20,174,225,114,2.05,0.066,0.014,21.8,0,0.09,0.22,5.198,1.1,0.381,4,0,4,4,56.7,0.51,22,7,7,0,0,0,0,102,0.18,0,1,2.9,0.949,1.33,0.854,89,1
148,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,STWD",67.58,169,27.5,5.71,0.91,0,0,0,11,1.37,21,150,199,80,3.02,0.077,0.019,18,0,0.054,0.213,4.3,0.961,0.23,8,0,8,8,73.1,0.24,57,17,17,0,0,0,0,0,0.27,0.1,5,3.4,1.51,1.93,1.37,88,1
149,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,RAW",67.3,214,16.37,15.95,0.81,0.17,0,0,9,0.69,19,155,203,84,1.47,0.054,0.016,18,0.2,0.073,0.141,4.733,0.994,0.318,4,0,4,4,41.6,0.56,92,28,28,0,0,0,0,91,0.22,0.1,2,2.3,4.366,6.619,3.352,93,1
150,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,STWD",64.01,220,24.17,12.92,0.79,0,0,0,11,1.35,20,139,176,73,2.43,0.071,0.019,18.9,0,0.054,0.191,4.59,0.812,0.18,6,0,6,6,56.4,0.2,124,37,37,0,0,0,0,0,0.27,0.1,5,3.5,3.57,5.04,2.87,84,1
151,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW",76.41,120,19.16,4.22,0.95,0,0,0,10,0.78,23,180,238,96,1.76,0.06,0.017,21,0,0.087,0.179,5.578,1.17,0.406,4,0,4,4,48.6,0.57,32,10,10,0,0,0,0,95,0.18,0,1,2.8,1.05,1.44,0.962,91,1
152,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,CKD,STWD",66.44,185,26.26,8.06,0.88,0,0,0,11,1.4,21,149,190,78,2.78,0.077,0.019,26.5,0,0.059,0.216,4.798,0.913,0.21,8,0,8,8,69.7,0.23,60,18,18,0,0,0,0,0,0.27,0.1,5,3.6,2.2,2.93,1.88,89,1
